0,1,2,3,4,5,6
3 2,38 . 83,17 . 78,"b 3 0 , 74 9 . 34",3 0.43,7 2.88,D ( ? )
3 3,38 . 06,17 . 19,3 0 . 78 9 . 22,3 1 . 1 6,"73 , 59",C + D ( ? )
34,36 . 65,16 . 23,31.02 9 . 1 2,32 . 23,74.65,
35,3 6 . 61,16 . 28,3 1 . 38  9 . 26,"32 , 01",74 .46,I I
3 6,3 5 . 69,1 5 .  7 7,"31 . 91 9 , 3 6",3 2 . 40,74 . 87,I I
3 7,35 . 7 7,15 . 94,31 . 10 9 . 19,32 . 13,74 . 87,F
38,35 . 58,15 . 4 5,31.16 8.98,33 . 28,7 5.57,I I
39,"3 5 , 54",15 . 4 7,3 1 . 3 0  9 . 04,33 . 16,7 5 . 4 9,I I
40,"3 5 , 3 5",15 . 38,31 . 44 9 . 07,33 . 21,"7 5 , 5 5",I I
41,34 . 00,14 . 12,30.30 8 . 35,35 . 7 0,7 7 . 53,I I
42,33 . 7 9,13 . 8 9,29.93 8.16,"3 6 , 28",7 7  . 95,I I
43,33 . 70,13.91,"30 , 2 5 8.28",36 . 05,7 7  . 81,I I
44,32 . 8 0,13 . 19,"29 , 69 7 . 92",37 . 51,78 . 89,I I
4 5,31 .8 0,12 .44,"29 , 08 7 . 54",39 . 12,80 . 02,I I
46,27 . 91,"9 , 88",2 6 . 78 6 . 28,4 5 . 3 1,83 . 84,F
4 7,2 5.60,8 . 54,2 5 . 20 5.58,"49,20",8 5 . 88,I I
48,25 . 25,8 .34,24 . 8 0  5 . 43,4 9 . 9 5,8 6 . 23,I I
49,21 . 78,6 . 6 6,"22 , 71  4 . 61","55 , 51",88.7 3,I I
so,12 . 56,3 . 20,"17 , 01 2.88",7 0 .43,93 . 92,I I
51,10 . 63,2 . 60,"15 , 31 2.49",74 . 06,94 . 91,I I
52,"10,06","2 , 45",15 . 15 2 . 45,74 . 7 9,9 5 . 11,I I
53,10 . 15,2 . 47,15 . 3 0 2 . 4 5,74 . 55,95 . 08,I I
54,10 . 32,2 . 53,"15 . 56 2,53",74.12,94 . 94,I
55,10 . 48,2 .64,"17 . 87 2 , 99",71 .65,94 .37,
56,10.71,2 . 7 5,19 . 42 3 . 31,69.87,93 . 34,
57,11 . 11,"3 , 09",2 5 . 51  4. 71,63 .38,92 . 20,
58,12 . 03,3 . 6 1,3 0 . 4 0  6 . 05,57.57,90 . 34,
59,12 . 25,3 . 7 7,31 . 94 6 . 51,55 . 82,89 . 7 2,
6 0,12.96,4 . 52,3 9 . 7 4 9 . 20,"4 7 , 3 0",8 6.28,
61,13 . 22,4 . 71,"4 0 . 85  9 , 6 6","45 , 93",8 5 . 63,
62,14 . 2 1,6 . 02,49 . 71 13.98,36.08,8 0 . 00,
63,14 . 30,6 . 09,49 . 87 14.09,35 . 83,7 9 . 82,
64,14.34,6 . 27,51 .15 14.83,34.51,78.90,G
65,"9 , 65",4 . 2 5,55 . 8 5  16 . 30,34 . 51,7 9 . 45,I I
66,9 . 53,4 . 18,55 . 7 2  16 . 19,34.7 5,7 9 . 63,I I
67,8 . 84,3 . 59,57 . 92 17 . 4 5,33 . 24,7 8.96,I I
68,8 . 71,3 . 9 5,58 . 17 17 . 50,33 . 12,7 8 . 55,I I
69,8 . 68,3 . 50,60 . 24 16 . 13,38.08,8 0 . 37,I I
7 0,"9 ,10",4 . 56,62 . 48 20 . 7 5,28 . 52,74 . 69,I I
71,10 . 05,5 . 60,65 . 93 24 . 38,24 . 02,7 0 . 02,I I
