0,1,2,3,4,5,6
mass% mol/kg,,mass% mol/kl mass%,trc,,,phasec.
---- ----,,38 . 4 7 . 33 61 . 6,"-17 , 5",,,A + B
3 . 6 0 . 48,,34.1 6 . 44 62 . 3,-18 . 4,,,A + B
"6 , 2  0 .84",,32 . 0  6.09 61.8,-18.9,,,A + B
"8 , 4  1 . 17",,"31 .8  6 , 26 59 .8",-12.8,,,B + C
7 . 8  l . 03,,"29 . 4  5 , 51 62,8",-18 . 8,,,A + C
11.2 l . 67,,32 . 8  6 .89 5 6 . 0,,"2 , 3",,B + C
9 . 2 1 . 20,,2 7 . 2  5 . 03 63 . 6,-18 . S,,,A + C
15 . 5  2 . 48,,32.4 7 . 32 52 . 1,15 . 1,,,B + C
11.6 1 . 51,,24 . 4  4 . 48 64 . 0,-17 . 2,,,A + C
2 6 . 0  4 . 63,,2 7.2 6 . 84 46 . 8,29 .8,,,B + C
"17.7 2,23",,"16 . 2  2 , 89 6 6 , 1",-14 . 6,,,A + C
"23 , 0  2 .84",,9 . 6 1 . 68 67.4,-12 .8,,,A + C
23 . 4  2 .89,,9.2 1 . 60 67 . 4,"-12 , 5",,,A +  C
27 .8 3 . 41,,4 . 3 0 . 74 67 . 9,-10 . 9,,,A + C
ubility isotherms in,,the NaH Po2 system . 4 -NaN0 3-H20,,,,
NaHlo4,,NaN03 H2o,,,,solid
mass% mol/ kga. i,,mass% b mol/kga i mass%,,M,,phase
,,temp . = -17 . 5 °C .,,,,
---- ---- ---,,38 . 4  7 .33 100 . 0  61 . 6,,7 58,,A + B
"3 , 6 0 . 48 7 , 0",,"34 . 4  6 . 53 93 , 0  62 . 0",,7 93,,B
6 . 3  a . a s  12 . 1,,"32 . 2 6 . 16 87 , 9 61 . 5",,7 9 3,,I I
7 . 6 1 . 03 14 . 8,,"31 . 0 5 . 94 85 . 2 61 , 4",,7 9 7,,B + C
"8 , 0  1 . 08 16 , 0",,"30 , 0  5 . 69 84 , 0 62 . 0",,820,,C
"9 ,4 1 . 24 19 , 5",,"27 , 5  5 , 13 80 , 5 63 . 1",,872,,I I
"10 . 7  1 . 39  23,1",,"25 , 2  4 . 62 7 6 . 9 64 . 1",,924,,A + C
"8 , 9  1.14 19 . 3",,26 . 3 4. 7 7  80 . 7  64 .8,,940,,
7 . 4 0 . 9 6 19 . 6,,28.3 5 . 18 84 . 4  64 . 3,,906,,I I
"5,9 o. 7 7  12 . 2",,"30 , 0 5.51 87.8 64 . 1",,886,,I I
"3,4 0 . 44 6 . 8",,32.8 6 . 05 93 . 2 63 .8,,856,,I I
,,"temp , .. -14 ° C .",,,,
---- ---- ---,,"39,1 7 . 55 100,0 60 . 9",,736,,
3 . 7  a . so 7 . 0,,"3 5 .3 6 .81 93 , 0  6 1.0",,7 59,,I I
6 . 4  0 .88 12 . 1,,33 . 0 6 . 41 87 . 9 60.6,,7 62,,I I
"8 . 2  1 . 13 15 , 6",,31 . 4  6 . 12 84 . 4  60 . 4,,7 6 6,,B + C
8 . 3  1 . 14 15.9,,3 1 . 2  6 . 07 84.1 60.S,,7 71,,
"9 , 6 1 . 28 19 , 4",,"28 , 2  5 . 33 80 , 6 62.2",,840,,I I
"12 , 0  1 . 59 25,3",,"25 , 0  4 . 67 74 , 7  63 . 0",,888,,II
"17 , 8 2 . 25 43,9",,"16 , 2  2 . 89 56,1 6 6 . 0",1082,,,I I
19 . 4  2 . 43 49 . 6,,14.0 2.47 50 . 4  66 . 6,1133,,,A +  C
"17 . 1  2 . 11 43,9",,15 . S 2 . 7 0  56 . 1  67 . 4,1152,,,A
"10.0 1 . 21 25,1",,21 . 2  3 . 62 74.9 68 .8,1149,,,I I
"7 . 6 0 . 90 19 , 4",,"22 . 5 3 . 79 80,6 69 . 9",1182,,,I I
"6 , 4  o .  7 7  15 , 7",,"24 . 4  4 . 15 84 , 3  69.2",1132,,,I I
"5 , l  0 . 61 12 ,3",,25 .8 4 . 39 87 . 7  69 . l,1109,,,I I
"-2--,-9 0--,-3-5 --6.-8",,"28 . 2  31 . 4 4 .82 5 . 38 100 , 0  93 , 2 68 . 9  68 . 6",1076 1028,,,I I I I
