0,1,2,3,4,5,6
39 53 . 4 2,8 . 99,----,,----,18 . 59,6 . 7 7
40 41 42 53.13 51 . 10 50 . 7 9,"8 . 95 7 , 64 7 . 86",---- --------,,-------- ----,18 . 91 17.91 18 . 27,6 . 9 0  6 . 09 5 . 84
"43 44 49.30 5 0 , 65","7 , 71 7 .16",-----,,----,18 . 41,"6 , 07"
45  47 . 80,6 . 60,-------,,---- ----,18 . 26 18.11,5 . 74 5 .42
4 6  41 . 9 5,4.89,----,,----,17 . 63,4 .45
47  48 38 .48 37 . 9 5,4 . 07 3 . 94,--------,,---- ----,17 . O S,3 . 91
"49 32 , 73","3 , 02",----,,----,"16 . 74 16 , 26",3.7 7  3 .25
50 18 . 87,1.34,-,,,,
"51 15 , 97",1.07,-------,,--------,14 . 7 8  13 . 7 7,2 . 27 2.00
52  15 . 12,1 . 00,----,,----,13 . 94,2.00
53 15.25,1.01,----,,----,14 . 09,2 . 03
54 15 . 51,1.04,----,,----,14 . 33,2 . 08
55 56 5 7  ------58 16 . 09 16 . 7 0  18 . 08 15 . 7 5,1 . 11 1 . 17 1.41 1.76,-------- --,,-------- ---- ----,17 . 41 19 . 39 27 . 52 33 .64,2 . 6 5  7 . 11 3 . 06 5 . 03
