0,1,2,3,4,5,6
+,"phosphoric  aci d ,",tri sodi um s a l t,,,,"E l 2 7 , 1 4 6"
d,,,,,,
+,ammoni a,,,,,"2 6 9 , 2 7 0"
+,d ipho sphoric  acid,,,,,"2 6 9 , 2 7 0"
+,"phosphori c  aci d ,",d i sodium s a l t,,,,"2 3 ,  3 7 , 3 8"
+,"phosphoric  acid ,",l i thium s a l t,,,,"E4 , 9 ,  l 0"
+,"phosphori c  a ci d ,",monocesi um s a l t,,,"E 3 2 0 ,","E 3 2 2 ,  3 2 9 - 3 3 1"
+,"pho sphori c  acid ,",monopota s s ium,sa l t,,,"1 7 4 ,  1 7 8 - 1 8 1"
+,"phosphori c  aci d ,",monorubidium s a l t,,,"E3 0 8 ,","E 3 1 0 ,  3 1 3 ,"
,,,,,,"3 1 6 , 3 1 7"
+,"phosphori c acid ,",monosodium s a l t,,,"1 6 ,","2 0 , 2 1 , 2 4 , 2 5"
+,"phosphoric  aci d ,",tr isodium s a l t,,,"E 1 3 ,","E l 4 , 2 6 - 3 6"
