0,1,2,3,4,5,6
no .,mass%,mol/ kg,mass%,mol/kg,mass%,mol/kg
59 60,18 . 39 19 . 48,1 .88 2.65,---- ----,--------,3 5 . 62,7.90
,,,,----,,
,,,,,45 .89,13.52
61,19 .87,2 .84,----,,47 . 24,14.66
62 63 64,21 . 35 21 . 55 21 . 4 9,5 . 06 5 . 71 5 . 17,---- ---- ----,-------- ----,58 . 7 9  60 . 69 58 . 95,30 . 22 34 .88 3 0 .  7 6
65,14 . 50,4.53,----,----,7 0 . 41,4 7 . 65
6 6,14 . 32,4 . 3 9,----,----,,
67,13 . 28,4 .8 6,----,----,7 0 . 33 73 . 84,4 6. 78 58.58
68 69,"13.09 13 , 04",4 .88 6 .27,--------,---- ----,74 . 28 77 . 16,60 . 04 8 0 . 43
7 0,13 . 67,10 . 13,----,----,7 9 . 96,128 . 37
71,15.10,86 . 51,----,----,84 . 07,1042 . 9
