0,1,2,3,4,5,6
2,6 . 3 7,0 . 7 5,53.48,24 .12,----,----
3,7 . 77,"0 , 94",53 . 62,2 0. 7 6,----,----
4,7 .89,0 . 86,"49 , 25",20.48,----,----
5,8 . 82,0.97,48.39,20.16,----,----
6,14 . 05,1 . 51,42 . 31,17 . 28,----,----
7,23 .33,2.50,32 . 8 6,13.37,----,----
8,36 . 9 6,4 . 15,21 . 13,8 . 9 9,----,----
9,46 . 78,5 . 51,13 . 29,5 . 93,----,----
10 11,63.02 64 . 47,"8 . 10 9 , 27",--0-. 3-6,--0-.1-7,---- 2 . 8 0,----0 . 87
12 13,65.83 63 . 71,10.65 10 . 15,--------,--------,5.05 6 . 7 2,1.77 2 . 32
14,62 . 7 1,10 . 17,----,----,8 . 26,2 . 90
15,62.21,9 . 98,----,----,8 .42,2.92
16,61 . 59,10 . 06,----,----,9 . 56,3 . 38
17,61 . 38,10 . 03,---,,,
18 19,60.14 59 . 64,"9 .74  9 , 8 5",------- --,-------- ----,9 . 7 9  10 . 8 0  11.83,3 . 4 7  3 . 7 9  4 .23
20,59 . 7 2,"9 , 92",----,----,11 . 94,4 .30
21,59 . 40,9 . 81,----,----,12 . 09,4 . 32
22,58 . 8 9,9.76,----,----,12 . 7 0,4 . 56
23,58 . 59,9.86,----,----,13 .43,4 . 9 0
24,58 . 20,9 . 89,,,,
25 26,58 . 18 57.30,10 . 07 10.33,--------- -,---- ----,14 . 09 14 . 60,5 .19 5 . 47
27 28,"57 . 05 57 , 07",10.29 10 .60,-------- --,-------- ---,16 . 57 16.83,6.47 6.57
29  30,"57 . 87 55 , 18",9.7 5 9 . 67,---- ----,---------,17 . 57 14 . 19 17 . 94,7 . 07 6 . 81 5 . 18
31,58 . 51,10 . 50,----,----,15 . 23,5 . 92
3 2,58 . 36,10 . 53,----,----,15 . 54,6.07
33 34  3 5,"57 , 21 55 . 09 55 , 03","10.10 9 . 44 9 , 59",-------- ----,-------- ----,16.12 17 . 43 17 . 96,6 . 17 6 . 47 6 . 78
36,53 . 64,9 .35,----,----,19 . 33,7 . 30
37 38,53 .  7 6 53 . 48,9 . 02 8 . 9 5,--------,---- ----,18 . 15 18 . 37,6 . 59 6 . 66
