0,1,2,3,4,5,6
+,"phosphoric  aci d,",tri sodi um s a 1t,,,,E 127.146
d,,,,,,
+,ammoni a,,,,,269.270
+,d ipho sphoric  acid,,,,,269.270
+,"phosphori c  aci d,",d i sodium s a 1t,,,,23.37.38
+,"phosphoric  acid,",1i thium s a 1t,,,,"E4.9,10"
+,"phosphori c  a ci d,",monocesi um s a 1t,,,"E 320,",E 322.329 - 331
+,"pho sphori c  acid,",monopota s s ium,sa 1t,,,174.178 - 181
+,"phosphori c  aci d,",monorubidium s a 1t,,,"E308,","E 310.313,"
,,,,,,316.317
+,"phosphori c acid,",monosodium s a 1t,,,"16,",20.21.24.25
+,"phosphoric  aci d,",tr isodium s a 1t,,,"E 13,",E 14.26 - 36
