0,1,2,3,4,5,6
conca,a concn,mass%,mol/kg,mass%,mol/kg,solid 'phase
9.14,3.13,64.71,8.84,0.84,0.25,
8.84,3.22,62.58,8.49,2.70,0.79,
8.42,3.44,59.61,8.23,6.23,1.68,
7.52,3.78,53.24,7.32,12.50,3.72,""""
6.90,4.15,48.85,6.97,18.15,5.61,""""
6.88,4.12,48.70,6.87,17.92,5.48,
6.80,4.08,48.14,6.60,17.79,5.32,
6.80,4.05,48.14,6.60,17.49,5.19,
6.76,3.96,47.85,6.36,16.74,4.82,""""
6.50,3.85,46.01,5.72,16.12,4.34,
6.16,3.61,43.61,4.99,15.27,3.79,""""
5.24,3.25,37.09,3.62,14.74,3.12,",,c"
4.42,2.94,31.29,2.71,14.38,2.70,""""
2.90,2.36,20.53,1.46,13.66,2.11,
1.70,1.71,12.03,0.73,11.21,1.49,
1.60,1.67,11.32,0.68,11.14,1.46,""""
1.48,1.46,10.46,0.61,9.51,1.21,""""
1.78,3.15,12.60,0.95,25.06,4.10,""""
2.18,4.65,15.43,1.57,38.45,8.51,""""
2.54,6.32,17.98,2.98,53.64,19.29,""""
2.66,6.76,18.83,3.75,57.56,24.89,""""
2.98,8.03,21.09,10.00,68.96,70.85,""""
3.32,8.80,23.50,101.6,75.40,706.4,",,c"
