0,1,2,3,4,5,6
2,6.37,0.75,53.48,24.12,----,----
3,7.77,0.94,53.62,20.76,----,----
4,7.89,0.86,49.25,20.48,----,----
5,8.82,0.97,48.39,20.16,----,----
6,14.05,1.51,42.31,17.28,----,----
7,23.33,2.50,32.86,13.37,----,----
8,36.96,4.15,21.13,8.99,----,----
9,46.78,5.51,13.29,5.93,----,----
1011,63.0264.47,8.109.27,--0-.3-6,--0-.1-7,---- 2.80,----0.87
1213,65.8363.71,10.6510.15,--------,--------,5.056.72,1.772.32
14,62.71,10.17,----,----,8.26,2.90
15,62.21,9.98,----,----,8.42,2.92
16,61.59,10.06,----,----,9.56,3.38
17,61.38,10.03,---,,,
1819,60.1459.64,9.749.85,------- --,-------- ----,9.7910.8011.83,3.473.794.23
20,59.72,9.92,----,----,11.94,4.30
21,59.40,9.81,----,----,12.09,4.32
22,58.89,9.76,----,----,12.70,4.56
23,58.59,9.86,----,----,13.43,4.90
24,58.20,9.89,,,,
2526,58.1857.30,10.0710.33,--------- -,---- ----,14.0914.60,5.195.47
2728,57.0557.07,10.2910.60,-------- --,-------- ---,16.5716.83,6.476.57
2930,57.8755.18,9.759.67,---- ----,---------,17.5714.1917.94,7.076.815.18
31,58.51,10.50,----,----,15.23,5.92
32,58.36,10.53,----,----,15.54,6.07
333435,57.2155.0955.03,10.109.449.59,-------- ----,-------- ----,16.1217.4317.96,6.176.476.78
36,53.64,9.35,----,----,19.33,7.30
3738,53.7653.48,9.028.95,--------,---- ----,18.1518.37,6.596.66
