0,1,2,3,4,5,6
no .,mass%,mol/ kg,mass%,mol/kg,mass%,mol/kg
5960,18.3919.48,1.882.65,---- ----,--------,35.62,7.90
,,,,----,,
,,,,,45.89,13.52
61,19.87,2.84,----,,47.24,14.66
626364,21.3521.5521.49,5.065.715.17,---- ---- ----,-------- ----,58.7960.6958.95,30.2234.8830.76
65,14.50,4.53,----,----,70.41,47.65
66,14.32,4.39,----,----,,
67,13.28,4.86,----,----,70.3373.84,46.7858.58
6869,13.0913.04,4.886.27,--------,---- ----,74.2877.16,60.0480.43
70,13.67,10.13,----,----,79.96,128.37
71,15.10,86.51,----,----,84.07,1042.9
