0,1,2,3,4,5,6
3953.42,8.99,----,,----,18.59,6.77
40414253.1351.1050.79,8.957.647.86,---- --------,,-------- ----,18.9117.9118.27,6.906.095.84
434449.3050.65,7.717.16,-----,,----,18.41,6.07
4547.80,6.60,-------,,---- ----,18.2618.11,5.745.42
4641.95,4.89,----,,----,17.63,4.45
474838.4837.95,4.073.94,--------,,---- ----,17. O S,3.91
4932.73,3.02,----,,----,16.7416.26,3.773.25
5018.87,1.34,-,,,,
5115.97,1.07,-------,,--------,14.7813.77,2.272.00
5215.12,1.00,----,,----,13.94,2.00
5315.25,1.01,----,,----,14.09,2.03
5415.51,1.04,----,,----,14.33,2.08
555657  ------5816.0916.7018.0815.75,1.111.171.411.76,-------- --,,-------- ---- ----,17.4119.3927.5233.64,2.657.113.065.03
