0,1,2,3,4,5
:t.J •c,b g ( l ) /100 g (2) mass%,a,mol/kg,a,t ime/h
83,61 . 1 37 . 93,,3 . 72,,39
83,62 .2 38 . 35,,3 . 7 9,,3 9
101,78 . 4  43 . 9 5,,4 . 78,,43
101,7 6 .8 43 . 44,,4 . 68,,43
115,88 . 6 46.98,,5 . 40,,48
115,9 0 . 3  47 . 45,,"5 , 50",,48
115,89 .8 47 . 31,,5 . 47,,48
121,93 . 2 48 . 24,,5 . 68,,8 6
129,91 .l  4 7 . 67,,5 . 5 5,,4 5
129,89 . 3  47 . 17,,5 . 44,,45
139,88 . 2 46 . 85,,5 . 37,,39
139,88 . 7 4 7 . 00,,"5 , 40",,39
139,88 . 8 47 . 03,,5 . 41,,39
150,83 . 9 45 . 62,,5 .11,,16
150,7 9 . 8  44 . 38,,4.8 6,,16
150,83.1 4 5 . 38,,5 . 06,,44
150,78 . 9 44 . 10,,4 .81,,44
150,82 . 2 45 .12,,"5,01",,44
150,84 .1 45 . 68,,"5,12",,18
150,7 8 . 6 44 . 01,,4 . 7 9,,18
159,7 6 . 0 43 . 18,,4 . 63,,66
