0,1,2,3,4,5
0 0,12 . 3,1 . 03,,87 . 7 C,
8 . 92 0 . 92,10 . 8,0 . 9 9,,80.280 I I,
17 . 98 2 . 06,10 . 1,1 . 03,,71 . 92 I I,
27 . 18 3 . 57,9 . 4,1 . 09,,63 . 42 I I,
37 . 6  5 . 02,0,0,,62 . 4  B,
37 . 8  5 . 27,2 . 488,0 . 31,,59 . 712 I I,
3 6 . 0 5 . 04,4 . 48,0 . 55,,52 . 52 I I,
32 . 1 4 . 33,6 . 111,0 . 73,,61 . 79 I I,
,"temp ,  =",10 ° c,,,
0 0,"15 , 2",1 . 32,,84 .8  C,
8 . 72 0 . 93,12 . 8,1 . 20,,78 . 48 I I,
"17 . 6 2 , 08",12 . 0,1 . 25,,7 0 . 4  I I,
26 . 7  3 . 57,11 . 0,1 . 3 0,,62 . 3  I I,
32 .868 4 . 69,8 . 7,1 . 09,,58 .432 I I,
"42 . 2 6 , 08",0,0,,57 . 8 B,
34 . 056  4 . 69,5 . 4,0 . 6 6,,60 . 544 II,
41 . 0 6 . 03,"2 , 3 6",0 . 31,,5 6 . 64 I I,
39 . 4  5 . 82,4 . 242,0 . 55,,56 . 358 II,
35 . 2  4 . 97,5 . 832,0 . 7 3,,58 . 97 I I,
,temp .,.. 20 °c,,,
0 0,18 . 0,1 . 61,,82. 0 C,
8 . 5  0 . 92,15 . 0,1 . 44,,7 6 . 5  I I,
17 . 24 2 . 08,13 . 8,1 . 47,,68 . 9 6  I I,
26 . 25 3 . 57,12 . 5,1 . 50,,61 . 2 5  I I,
32 . 4 4 . 69,10 . 1,1 . 29,,57 . 6  I I,
4 6 . 6 7 . 27,0,0,,53 . 4 B,
44 . 0  6 . 82,2 . 24,0 . 31,,53 . 7 60 I I,
42 . 4  6 . 59,4 . 032,0 . 5 5,,53 . 5 68 I I,
38 . 2 5 . 66,5 . 5 62,0 . 73,,5 6 . 238 I I,
Crystallization temperatures,and composition of,,,solutions existi,
equilibrium with two or,three solid,phases .,,,
NaHl04,KHl04,,,H20 solid,
:tt • c mass% mol/kg a.,mass%,mol/kg,a.,b mass% phase,
-2 . 5 0 0,11 . 6,0 . 9 6,,88 . 4 A + C,
-4 . 2  9 . 0  0 . 92,10 . 0,0 . 91,,81 . 0  A + C,
-6 . 5 18 . 2 2 . 08,9 . 0,0 . 91,,72 .8 A +  C,
-9 . 6 27 . 6 3 . 57,8 . 0,0 . 91,,64 . 4 A +  B +,C
-a . a 33 . 5  4 . 20,0,0,,66 . 5 A + B,
-10.1 34 . 6  4 . 59,2 . 616,0 . 31,,62. 784 A + B,
-10 . 5 32 . 8  4 . 37,4 . 704,0 . 55,,62 . 4 9 6  A + B,
"-10 . 1 29 . 2  3 , 78",6 . 372,0 . 7 3,,64 . 428 A + B,
7 . 6  32 . 940 4.69,8 . 5,1 . 07,,58 . 560 B + C,
14 . 6 3 6 . 8 5 . 5 5,8 . 0,1 . 0 6,,5 5.2 B + C,
24 . 8 41 . 4 6 . 82,8 . 0,1 . 16,,50 . 6 B + C,
33 . 0 45 . 5 8 . 33,9 . 0,1 . 4 5,,4 5 . 5  B + C +,D
40 . 2 56 . 0 10.60,0,0,,44 . 0 B + D,
"4 7 . 0  52 . 0 9 , 40",1 . 92,0 . 31,,4 6 . 08 B + D,
so . a 52 . 0 9 . 70,3 . 3 6,"0 , 55",,44 . 64 B + D,
"52 .8 49 . 0  8 , 80",4.59,0.7 3,,4 6 . 41 B + D,
"19 , 2  48 . 5  8 . 98",6 . 5,1 . 0 6,,4 5 . Q  B + D,
