0,1,2,3,4,5
,,,,,"E3 2 2 , 3 2 6"
"+ phos phor ic  acid ,",monopotas s ium,,sa l t,,"E 3 1 8 - E3 2 1 , 3 2 8"
"d , monopota s s i um",sa l t,,,,
+ water,,"7 0 - 7 2 ,","7 5 ,","E 2 0 6 - E2 1 2 ,","2 1 3 - 2 9 6 , 3 2 8"
"d ,  monopota s s i um",s a l t,( aqueous ),,,
"+ acet ic  acid , potas s i um",,sa l t,,,2 2 1
+ ammon ium ch l oride,,,,,"2 6 2 , 2 6 3 , 2 6 7 , 2 6 8"
"+ arseni c acid , monopota s s i um",,,s a l t,,"E 2 0 8 , 2 2 0"
"+ bor i c  acid , potas s i um",,sa l t,,"E2 0 8 ,","E2 1 0 , 2 2 4 , 2 3 2 ,"
,,,,"2 3 3 ,","2 5 3 , 2 5 4 , 2 6 0 , 2 6 1"
+ cal cium ch l oride,,,,,2 7 1
"+ carbon ic  acid ,",dipotas s i um,s a l t,,,"E 2 1 2 ,  2 2 2"
"+ e thanamine , N , N-diethy l - ,",,phosphate,,,2 7 3
+ formamide,,,,,"E 2 1 2 ,  2 7 2 , 2 7 6 , 2 7 7"
+ hyd rogen peroxide,,,,,"E2 1 2 , 2 2 5"
"+ nitric  aci d ,  pota s s i um",,s a l t,,,9 2 - 9 5
+ pho sphor i c  acid,,"1 7 4 , 1 7 8 - 1 8 1 ,",,,"2 0 3 - 2 0 5 , 2 6 4 - 2 6 6"
"+ phosphor ic  ac i d ,",ca l ci um,sa l t,,,"2 6 4 - 2 6 6 , 2 7 1"
"+ phosphor i c  acid ,",monoammonium,,s a l t,,"E2 0 8 , E2 0 9 , 2 2 7 ,"
,,"2 3 0 ,",,"2 3 1 ,","2 3 6 , 2 4 4 - 2 4 7 ,  2 5 6 ,"
,,"2 6 2 ,",,"2 6 3 ,","2 6 7 , 2 6 8 , 2 7 4 , 2 7 5"
"+ phosphor ic  acid ,",monoce s i um,,s a l t,,"E3 1 8 - E3 2 1 , 3 2 8"
