0,1,2,3,4,5
"0 , 40","40 , 05 52 , 80",9 . 21,46 . 80,solid solu2tion,
"0 , 47","0 , 06 47 , 70",7 . 52,51 .83,I I  I I,
"2 , 14","0 , 23 41 . 60","6 , 04","56 , 26",I I  I I,
1 . 80,0 .19 41.35,"5 , 94","5 6 ,85",I I  I I,
"2 , 54","0 , 25 35 . 87",4 . 76,61 . 59,I I  I I,
"2 , 90","0 , 28 34.70",4 . 54,62 . 40,I I  I I,
"3 , 20","0 , 27 26 , 00","3 , 00",7 0 . 80,Na Po ; 12H,o
4 . 80,"0 , 40 21 .80",2 . 42,7 3 .40,3 4 1 2,
12 . 46,"0 , 97 9 , 80",1 . 03,"7 7 , 74",I I,
18 . 42,1.45 4 . 48,"0 , 47","7 7 , 10",I I,
14 . 46,"1 . 14 8 ,20",0 .86,7 7 . 34,I I,
23 . 90,"1 , 95 l . 60",0 . 18,"74 , 50",I I,
