0,1,2,3,4,5
mass%,mol/kg,mass%,mol/kg,mas s%,b . p . / • c .
52 . 7 0,8 . 18,0,0,4 7 . 3 0,105 . 1
51 . 78,8 . 46,3 . 28,0 . 63,44 . 94,105 . 3
4 9 . 4 0,8 . 3 0,6 . 90,1 . 3 7,43 . 7 0,106 . 2
4 7 . 46,8 . 32,10 . 67,2 . 21,4 1 .87,105 . 7
44 . 58,8 . 20,15 . 52,3 . 38,3 9 . 90,106 . 9
4 3 . 60,8 . 25,17.57,3 . 93,38 .83,107 . 1
42 . 60,"8 , 30","19 , 7 0",4 . 54,37 . 70,"108 , 0"
38 . 78,8 . 07,"25 , 94",6 . 3 9,3 5 . 28,108 . 9
38 . 44,8 . 4 1,"28 , 00",7 .25,"33 , 56",108 . 6
3 7 . 23,8 . 19,29 . 39,7 . 65,33 . 38,106 . 6
3 5 . 3 1,8 . 12,3 2 . 76,8 . 91,3 1 . 93,108 . 8
3 5 . 08,7 . 7 5,3 1 .69,8.28,33.23,108 .8
"32 , 64",7 . 31,3 4 . 56,9 . 15,32 .80,106 . 4
"30 , 57",6 .89,36 .86,9 .83,"32 , 57",106 . 9
28 . 15,6 . 54,40 . 23,11 . 05,31 . 62,109 . 7
27 . 92,6 .  7 9,4 1 . 87,12 . 04,3 0 . 21,110 . 6
27 . 09,6 . 62,42 . 86,12 . 3 9,30 . 05,109 .8
2 5 . 36,6 . 16,4 4 . 42,12 . 7 7,30 . 22,110 . 3
24 . 7 9,6 . 09,4 5 . 32,13 . 17,29 .89,109 . 5
21 . 91,5 . 50,48 .85,14 . 52,29 . 24,109 . 4
2 0 . 24,4 . 92,49 . 59,14 . 28,3 0 . 17,111 . 4
