0,1,2,3,4,5
1 . 58,1 . 62,5 . 73,27 . 66,13 . 80,---
1 . 60,1 .  60,5 . 68,28 . 38,13 . 04,---
1 . 65,1 . 65,6 . 95,34.25,"12 , 6 7",--
1 .  7 5,1 . 84,2 . 94,22 . 62,s . 20,---
1 . 8 1,1 .  9 1,"0 , 94",9 . 62,1 . 55,---
1 . 9 2,1 . 99,1 . 06,12 . 09,o . 7 2,
1 . 9 7,2.04,0 . 85,10. 47,0 . 22,------
2 . 00,2 . 22,0 . 5 1,6 . 76,0 . 00,0.00
2 . 10,2 . 37,"0 , 64",8 . 3 1,----,0 . 36
2 . 11,2.23,"0 , 68",8 . 78,----,0. 40
2 . 13,2 . 5 6,"0 , 33",4 . 46,----,0 . 49
2 . 13,2 . 63,"0 , 44",5 . 86,----,0.49
