0,1,2,3,4,5
---- ----,10 . 80,0 . 85,89 . 20,,A
25 . 57 2 . 06,3 . 24,0 . 32,7 1 . 19,,I I
31 . 84 2 . 83,3 . 66,0 . 40,64 . 50,,I I
35 . 17 3.3 2,3 . 94,0 . 4 6,60 . 89,,I I
39 . 4 1 4 . 13,5 . 82,o . 7 5,54.7 7,A,+  B
40 . 83  4 . 3 6,5 . 42,o . 71,53 . 7 5,,B
44 . 59 5.02,4 . 3 8,0 . 60,51 . 03,B,+ C
53 . 41 7 . 03,2 . 9 8,0 . 48,43.61,,B
e. 55 . 61 7 . 69,2.86,0.48,41 . 53,B,+ D
55 . 60 7 . 7 0,2 . 92,0.50,4 1 . 48,,I I
,temp .,= 25 ° C.,,,
60 . 66 9 . 42,2 . 3 6,0 . 4 5,3 6 . 98,,D
59 . 68 9 . 59,4 . 60,0 . 90,35 . 7 2,,I I
57 . 8 5  9 . 4 9,7.14,1 . 43,3 5.01,B,+ D
54.94 8 . 43,7 . 66,1.44,37 . 40,,B
45 . 31 5.81,9 . 91,1 . 56,44 . 78,,I I
30 . 98 3 . 4 7,17 . 8 0,2 . 44,51 . 22,,I I
2 9 . 57 3 . 30,19.05,2.61,51 . 38,,I I
26 . 64 2 . 97,2 1.82,2 . 98,51 . 54,B,+ E
26 . 61 2 . 97,22 . 04,3.02,51 . 3 5,,E
2 6 . 31 2 . 91,2 1 .  7 6,2 . 9 5,51 . 93,,I I
