0,1,2,3,4,5,6,7
"49,7,","9,78",6.01,----,----,----,,
44.50,8.33,5.11,2.56,1.34,0.83,"""",
43.35,8.03,4.93,3.15,1.63,1.01,"""",
39.70,7.26,4.50,6.67,3.42,2.13,",.",
37.33,"6,67",4.13,"7,75","3,89",2.41,"""",
"35,75","6,29","3,89",8.40,4.15,"2,57",".,",
"34,62","6,09","3,80","9,95",4.91,3.07,B +,C
"33,89",5.93,3.69,10.30,"5,06",3.16,C,
21.72,3.43,2.13,16.27,7.21,4.49,"""",
"14,60",2.19,1.36,20.08,8.46,"5,26",".,",
"10,78",1.57,"0,98",22.23,9.12,5.68,"""",
"3,30",0.46,"0,28",26.51,"10,37",6.46,"""",
-1--.3--1,"-0-,-18-","-0-,1-1-",27.6528.25,"10,6810,81",6.666.74,""" I I",
