,,,,,E322.326
"+ phos phor ic  acid,",monopotas s ium,,sa 1t,,E 318 - E321.328
"d,monopota s s i um",sa 1t,,,,
+ water,,"70 - 72,","75,","E 206 - E212,",213 - 296.328
"d,monopota s s i um",s a 1t,( aqueous ),,,
"+ acet ic  acid,potas s i um",,sa 1t,,,221
+ ammon ium ch 1oride,,,,,262.263.267.268
"+ arseni c acid,monopota s s i um",,,s a 1t,,E 208.220
"+ bor i c  acid,potas s i um",,sa 1t,,"E208,","E210.224.232,"
,,,,"233,",253.254.260.261
+ ca1cium ch 1oride,,,,,271
"+ carbon ic  acid,",dipotas s i um,s a 1t,,,E 212.222
"+ e thanamine,N,N-diethy 1-,",,phosphate,,,273
+ formamide,,,,,E 212.272.276.277
+ hyd rogen peroxide,,,,,E212.225
"+ nitric  aci d,pota s s i um",,s a 1t,,,92 - 95
+ pho sphor i c  acid,,"174.178 - 181,",,,203 - 205.264 - 266
"+ phosphor ic  ac i d,",ca 1ci um,sa 1t,,,264 - 266.271
"+ phosphor i c  acid,",monoammonium,,s a 1t,,"E208,E209.227,"
,,"230,",,"231,","236.244 - 247.256,"
,,"262,",,"263,",267.268.274.275
"+ phosphor ic  acid,",monoce s i um,,s a 1t,,E318 - E321.328
"+ phosphor i c  acid,",monosod i um,,s a 1t,,"E 47,E 50 - E52.67,"
,,"68.70 - 72,","75,","80 - 85,",88.89.91 - 95
+ pota s s i um ch 1oride,,,"80 - 85,",,"88.89.91,E210,"
,"E212,","226.228,",,"229,","240 - 243.251.252,"
,,"255.257,",,"262,",263.267.268.271
+ pota s s ium hydrox ide,,,,,182.183.203 - 205
"+ s e 1en i c  acid,",pota s s i um,s a 1t,,,E208.248
+ s odium ch loride,,,,,80 - 85.88.89.91
"+ s u 1f ur i c  acid,",pota s s i um,s a 1t,,,"E210,E212.223,"
,,,,,237 - 239.249.250
+ urea,,,"E 208,",,234.235.274.275
"d,monorubidium s a 1t",,,,,
+ wa ter,,,,,E 307 - E311.312 - 317
"d,monorubid i um s a 1t",( aqueous ),,,,
+ phosphoric  acid,,,,"E 308,",E 310.316.317
"+ pho sphori c acid,",ammoni um,sa 1t,,,"E 308,E309.313"
+ rubidium ch 1or ide,,,,,E 307.314
+ rubidium oxide,,,"E 308,",,E310.315.316.317
"d,monos odium s a 1t",,,,,
+ water,,,"20,","24,","25,E 39 -E42.43 - 45,"
,,"E 47 - E 52,","53 - 97,",,E 318 - E320.321 - 331
+ water-d2,,,,,332.333
"d,mono sodium s a 1t",( aqueous ),,,,
+ ammoni um c h 1oride,,,,,90
+ bor i c  acid s odium,s a 1t,,,,E 47.73.74
"+ n i tric  ac i d,pota s s i um",,s a 1t,,,92 - 95
"+ n i t r i c  acid,sodium",,s a 1t,"E 47,","E 48,",59 - 64.79.92 - 95
"+ perch 1oric  ac i d,",sodium,s a 1t,,,E 51.69.97
+ phosphor i c  acid,,,,,16.20.21.24.25
"+ phosphoric  acid,",diammon ium,,s a 1t,,E 51.86.87
"+ pho sphor i c  acid,",monoammonium,,s a 1t,,"E 51.54.55 - 58,"
,,,,,86.87.90
"+ phosphoric  acid,",monopota s s ium,,sa 1t,,"E47,E 50 - E 52.67,"
,,"68.70 - 72,","75,","80 - 85,",88.89.91 - 95
+ potas s i um ch1oride,,,"E 51,","E 52,",80 - 85.88.89.91
+ 2 - propanone,,,,,"E 51.96.97,E 129"
+ s odium ch 1oride,,,"E 47,","E 49,","E 51,E 52.65.66,"
,,,"76 - 78,","80 - 85,",88.89.90.91
"+ s u 1furic  aci d,",di sodium,s a 1t,,,E 51.53
"d,tripota s s i um s a 1t",,,,,
+ wate r,,,"E 168 - E171,",,E 297.298 - 306
"d,tripota s s i um sa 1t",( aqueous ),,,,
+ ammonia,,,,,E297.300.301
"+ bor ic  acid,pota s s i um",,s a 1t,,,E 297.304
"+ ni trous acid,pota s s i um",,s a 1t,,,E297.303
+ pho sphoric aci d,,,"E 168 - E 171,",,175 - 177.184 - 202
"+ phosphor ic aci d,",tri sodium,s a 1t,,,E 129.149.165
+ pota s s i um hvdroxide,,,,,E 168 - E 171.184 - 202
